trade_date,open_price,close_price
2018-05-19,695.072021,696.530029
2018-05-20,697.922974,715.369019
2018-05-21,717.192993,699.221985
2018-05-22,700.177979,647.741028
2018-05-23,646.669983,583.585022
2018-05-24,584.536011,601.755005
2018-05-25,602.140015,586.734009
2018-05-26,587.426025,587.280029
2018-05-27,588.52002,572.66803
2018-05-28,573.044983,516.036011
2018-05-29,516.14801,565.388
2018-05-30,566.830017,559.590027
2018-05-31,558.497009,577.64502
2018-06-01,578.671997,580.04303
2018-06-02,580.429016,591.807983
2018-06-03,591.258972,618.328979
2018-06-04,619.437012,592.984985
2018-06-05,593.406006,609.302979
2018-06-06,610.262024,607.124023
2018-06-07,607.687012,605.187012
2018-06-08,605.442993,601.077026
2018-06-09,600.905029,597.562012
2018-06-10,594.344971,526.479004
2018-06-11,524.856995,533.283997
2018-06-12,532.710022,496.842987
2018-06-13,498.018005,477.493988
2018-06-14,478.381012,519.742004
2018-06-15,520.47998,491.003998
2018-06-16,490.414001,499.641998
2018-06-17,499.459991,500.447998
2018-06-18,499.382996,518.890991
2018-06-19,519.02301,537.95697
2018-06-20,538.505981,536.268005
2018-06-21,536.447021,527.367004
2018-06-22,527.19397,465.816986
2018-06-23,466.273987,474.519989
2018-06-24,474.768005,457.671997
2018-06-25,455.936005,460.309998
2018-06-26,460.733002,432.772003
2018-06-27,432.243988,442.36499
2018-06-28,442.290009,422.36499
2018-06-29,422.587006,436.009003
2018-06-30,436.209015,455.179993
2018-07-01,455.242004,453.917999
2018-07-02,453.824005,475.346985
2018-07-03,475.385986,464.195007
2018-07-04,464.151001,467.317993
2018-07-05,467.286987,474.411987
2018-07-06,474.356995,474.011993
2018-07-07,474.057007,491.660004
2018-07-08,492.067993,489.118988
2018-07-09,488.877991,476.682007
2018-07-10,476.161987,434.424011
2018-07-11,434.515015,446.518005
2018-07-12,446.502014,430.074005
2018-07-13,430.740997,434.027008
2018-07-14,434.510986,436.085999
2018-07-15,435.882996,449.850006
2018-07-16,450.424988,480.65799
2018-07-17,480.076996,501.002014
2018-07-18,500.838013,480.513
2018-07-19,480.627991,469.618988
2018-07-20,469.307007,450.697998
2018-07-21,450.678986,462.436005
2018-07-22,462.437988,459.657013
2018-07-23,459.438995,450.852997
2018-07-24,451.135986,479.372986
2018-07-25,479.906006,472.493011
2018-07-26,472.330994,464.036987
2018-07-27,464.009003,469.665985
2018-07-28,469.678009,466.89801
2018-07-29,466.915009,466.665009
2018-07-30,466.826996,457.080994
2018-07-31,457.244995,433.867004
2018-08-01,433.868988,420.747009
2018-08-02,420.806,412.621002
2018-08-03,412.566986,418.261993
2018-08-04,418.237,407.252014
2018-08-05,407.346008,410.515991
2018-08-06,410.566986,406.65799
2018-08-07,406.800995,380.214996
2018-08-08,379.891998,356.613007
2018-08-09,356.971008,365.588013
2018-08-10,365.776001,334.175995
2018-08-11,334.264008,322.112
2018-08-12,320.822998,319.570007
2018-08-13,320.209991,286.494995
2018-08-14,286.36499,278.932007
2018-08-15,280.386993,282.364014
2018-08-16,282.740997,288.04599
2018-08-17,287.683014,315.729004
2018-08-18,316.790985,295.812012
2018-08-19,295.670013,300.834015
2018-08-20,301.381012,274.315002
2018-08-21,273.330994,281.944
2018-08-22,281.967987,271.341003
2018-08-23,271.747986,277.104004
2018-08-24,278.110992,282.96701
2018-08-25,283.281006,279.645996
2018-08-26,279.524994,275.196991
2018-08-27,275.350006,285.602997
2018-08-28,286.648987,296.498993
2018-08-29,296.162994,289.312012
2018-08-30,289.752991,284.105011
2018-08-31,284.119995,283.003998
2018-09-01,283.496002,295.341003
2018-09-02,295.453003,294.371002
2018-09-03,295.181,289.259003
2018-09-04,289.296997,285.722992
2018-09-05,286.045013,232.330994
2018-09-06,231.647995,230.214996
2018-09-07,229.535004,217.203003
2018-09-08,217.912003,197.951004
2018-09-09,198.384995,196.923996
2018-09-10,197.850998,197.078995
2018-09-11,198.177002,185.065994
2018-09-12,185.423004,183.330994
2018-09-13,183.679001,211.354004
2018-09-14,212.669006,211.748993
2018-09-15,209.813995,223.074005
2018-09-16,222.802994,220.589005
2018-09-17,221.582001,197.875
2018-09-18,197.095001,209.975006
2018-09-19,209.472,209.968994
2018-09-20,210.287994,224.591003
2018-09-21,225.251007,246.584
2018-09-22,247.337006,240.479996
2018-09-23,240.992004,244.330002
2018-09-24,244.843994,228.729996
2018-09-25,228.326996,218.505005
2018-09-26,218.647003,215.847
2018-09-27,215.440002,228.494003
2018-09-28,229.041,222.401993
2018-09-29,221.705002,231.634995
2018-09-30,231.328995,232.848007
2018-10-01,233.220001,230.768005
2018-10-02,231.100006,227.181
2018-10-03,226.406998,220.488998
2018-10-04,220.445999,222.218002
2018-10-05,222.266998,227.600998
2018-10-06,227.552002,225.119995
2018-10-07,225.434998,226.119003
2018-10-08,226.509003,229.255005
2018-10-09,229.710007,227.981995
2018-10-10,227.615005,225.768997
2018-10-11,225.610001,189.498993
2018-10-12,188.707001,196.727005
2018-10-13,196.363998,199.841003
2018-10-14,199.690994,195.714996
2018-10-15,195.270004,209.703995
2018-10-16,209.628006,210.119995
2018-10-17,210.216995,207.082993
2018-10-18,207.404007,203.352005
2018-10-19,203.257004,203.727005
2018-10-20,203.514999,205.429993
2018-10-21,205.389999,205.141998
2018-10-22,205.173996,204.044006
2018-10-23,204.016006,204.335999
2018-10-24,204.126999,203.852005
2018-10-25,203.867996,202.718994
2018-10-26,202.335999,203.328995
2018-10-27,203.356003,204.210007
2018-10-28,204.509995,205.365997
2018-10-29,205.173996,197.246994
2018-10-30,197.203003,197.556
2018-10-31,197.649002,197.380997
2018-11-01,197.537003,198.871994
2018-11-02,198.981995,200.634995
2018-11-03,200.740005,200.186005
2018-11-04,200.158005,207.485992
2018-11-05,207.100006,209.091003
2018-11-06,209.473999,218.451996
2018-11-07,218.899002,217.182999
2018-11-08,217.326996,212.231003
2018-11-09,211.987,210.074005
2018-11-10,209.975006,212.533005
